Entity,Code,Year,"Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages"
Brazil,BRA,2002,31.404512
Brazil,BRA,2003,31.818745
Brazil,BRA,2004,31.00799
Brazil,BRA,2005,30.689331
Brazil,BRA,2006,29.844063
Brazil,BRA,2007,28.557175
Brazil,BRA,2008,28.524282
Brazil,BRA,2009,27.648642
Brazil,BRA,2010,27.993626
Brazil,BRA,2011,27.30586
Brazil,BRA,2012,26.69629
Brazil,BRA,2013,27.230791
Brazil,BRA,2014,26.470398
Brazil,BRA,2020,22.909931
Brazil,BRA,2019,24.208696
Brazil,BRA,2018,24.584461
Brazil,BRA,2017,25.370432
Brazil,BRA,2016,27.25945
Brazil,BRA,2015,27.048635
Brunei,BRN,1996,13.281787
Brunei,BRN,1997,14.385364
Brunei,BRN,1998,9.720442
Brunei,BRN,1999,14.8730545
Brunei,BRN,2000,27.260391
Brunei,BRN,2001,16.951805
Brunei,BRN,2002,14.786732
Brunei,BRN,2003,12.8008995
Brunei,BRN,2004,26.714466
Brunei,BRN,2005,18.137407
Brunei,BRN,2006,13.026503
Brunei,BRN,2007,24.327425
Brunei,BRN,2008,26.44425
Brunei,BRN,2009,45.685684
Brunei,BRN,2010,27.606504
Brunei,BRN,2011,23.679075
Brunei,BRN,2012,25.96372
Brunei,BRN,2013,31.465807
Brunei,BRN,2014,33.972515
Brunei,BRN,2019,30.409996
Brunei,BRN,2018,31.87397
Brunei,BRN,2017,35.603653
Brunei,BRN,2016,32.467823
Brunei,BRN,2015,36.114864
Bulgaria,BGR,1964,23.539152
Bulgaria,BGR,1965,20.511541
Bulgaria,BGR,1966,20.862873
Bulgaria,BGR,1967,22.883284
Bulgaria,BGR,1968,18.96943
Bulgaria,BGR,1969,18.746395
Bulgaria,BGR,1970,17.289286
Bulgaria,BGR,1971,14.662173
Bulgaria,BGR,1972,14.21442
Bulgaria,BGR,1973,14.339246
Bulgaria,BGR,1974,13.4115305
Bulgaria,BGR,1975,12.546655
Bulgaria,BGR,1976,11.544672
Bulgaria,BGR,1977,11.021838
Bulgaria,BGR,1978,10.774468
Bulgaria,BGR,1979,9.363979
Bulgaria,BGR,1980,7.5329924
Bulgaria,BGR,1981,8.692771
Bulgaria,BGR,1982,8.430733
Bulgaria,BGR,1983,8.416976
Bulgaria,BGR,1984,7.8573613
Bulgaria,BGR,1985,7.4105067
Bulgaria,BGR,1986,7.9517016
Bulgaria,BGR,1987,7.6420517
Bulgaria,BGR,1988,7.0177774
Bulgaria,BGR,1989,6.608688
Bulgaria,BGR,1990,6.047555
Bulgaria,BGR,1991,6.3631415
Bulgaria,BGR,1992,7.252367
Bulgaria,BGR,1993,7.3176794
Bulgaria,BGR,1994,8.934413
Bulgaria,BGR,1995,7.216213
Bulgaria,BGR,1996,7.064503
Bulgaria,BGR,1997,8.728679
Bulgaria,BGR,1998,8.924728
Bulgaria,BGR,1999,7.67324
Bulgaria,BGR,2000,8.133639
Bulgaria,BGR,2001,7.941151
Bulgaria,BGR,2002,6.6410327
Bulgaria,BGR,2003,7.3412232
Bulgaria,BGR,2004,6.9305573
Bulgaria,BGR,2005,7.161197
Bulgaria,BGR,2006,6.9065776
Bulgaria,BGR,2007,7.6287627
Bulgaria,BGR,2008,6.8317113
Bulgaria,BGR,2009,6.064938
Bulgaria,BGR,2010,6.4225354
Bulgaria,BGR,2011,5.4102087
Bulgaria,BGR,2012,6.5290785
Bulgaria,BGR,2013,5.5650983
Bulgaria,BGR,2014,4.770333
Bulgaria,BGR,2020,3.984288
Bulgaria,BGR,2019,4.302993
Bulgaria,BGR,2018,5.703342
Bulgaria,BGR,2017,6.6189985
Bulgaria,BGR,2016,6.5076213
Bulgaria,BGR,2015,6.0874195
Canada,CAN,1950,45.86956
Canada,CAN,1951,42.379845
Canada,CAN,1952,35.76371
Canada,CAN,1953,30.58625
Canada,CAN,1954,23.820297
Canada,CAN,1955,21.720201
Canada,CAN,1956,20.097963
Canada,CAN,1957,17.973108
Canada,CAN,1958,17.09876
Canada,CAN,1959,16.626986
Canada,CAN,1960,15.245805
Canada,CAN,1961,14.014264
Canada,CAN,1962,13.444872
Canada,CAN,1963,12.75024
Canada,CAN,1964,11.099239
Canada,CAN,1965,11.169771
Canada,CAN,1966,10.340365
Canada,CAN,1967,10.028212
Canada,CAN,1968,9.419626
Canada,CAN,1969,6.979725
Canada,CAN,1970,7.136985
Canada,CAN,1971,6.3886976
Canada,CAN,1972,6.55702
Canada,CAN,1973,6.1093626
Canada,CAN,1974,5.6158233
Canada,CAN,1975,5.2043133
Canada,CAN,1976,5.0259576
Canada,CAN,1977,4.8632693
Canada,CAN,1978,4.641165
Canada,CAN,1979,3.46791
Canada,CAN,1980,3.7130573
Canada,CAN,1981,3.7238638
Canada,CAN,1982,3.886879
Canada,CAN,1983,3.9372463
Canada,CAN,1984,3.7880256
Canada,CAN,1985,3.6574361
Canada,CAN,1986,5.156315
Canada,CAN,1987,5.693517
Canada,CAN,1988,6.1375093
Canada,CAN,1989,7.055575
Canada,CAN,1990,7.3954496
Canada,CAN,1991,8.231752
Canada,CAN,1992,8.285528
Canada,CAN,1993,9.086389
Canada,CAN,1994,9.027112
Canada,CAN,1995,9.707682
Canada,CAN,1996,8.413275
Canada,CAN,1997,6.38438
Canada,CAN,1998,6.386148
Canada,CAN,1999,6.261652
Canada,CAN,2000,7.3228154
Canada,CAN,2001,6.934379
Canada,CAN,2002,7.1723638
Canada,CAN,2003,7.571094
Canada,CAN,2004,7.9203305
Canada,CAN,2005,8.188016
Canada,CAN,2006,8.112024
Canada,CAN,2007,8.498658
Canada,CAN,2008,8.27092
Canada,CAN,2009,8.468763
Canada,CAN,2010,8.588836
Canada,CAN,2011,8.552886
